timestamp,hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
2020-03-06 07:45:17,80,29,0,0.0,0.0,1.0,0.0,1.0,2.5639631352670347,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:45:40,79,29,0,0.0,0.0,1.0,0.0,1.0,2.5623531922261944,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:46:24,79,29,0,0.0,0.0,1.0,0.0,1.0,2.652928414198416,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:46:55,79,29,0,0.0,0.0,1.0,0.0,1.0,2.7794099340360567,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:47:25,79,29,0,0.0,0.0,1.0,0.0,1.0,2.934681497272896,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:47:55,79,28,0,0.0,0.0,1.0,0.0,1.0,3.0781071845664467,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:48:09,80,29,0,0.0,0.0,1.0,0.0,1.0,3.141209427398602,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:48:52,79,28,0,0.0,0.0,1.0,0.0,1.0,3.3420515555326897,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:49:18,80,29,0,0.0,0.0,1.0,0.0,1.0,3.444798428386919,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:49:41,99,29,0,0.0,0.0,1.0,0.0,1.0,3.538605843791703,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:50:28,99,28,0,0.0,0.0,1.0,0.0,1.0,3.546050096363046,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:50:37,98,28,0,0.0,0.0,1.0,0.0,1.0,3.5682927346813798,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:51:16,99,28,0,0.0,0.0,1.0,0.0,1.0,3.729479778654316,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:51:51,99,28,0,0.0,0.0,1.0,0.0,1.0,3.8800980728261503,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:52:00,99,28,0,0.0,0.0,1.0,0.0,1.0,3.887404041576666,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:52:53,99,28,0,0.0,0.0,1.0,0.0,1.0,3.9685561349378187,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:53:00,99,28,0,0.0,0.0,1.0,0.0,1.0,4.000032681612678,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:53:37,99,29,0,0.0,0.0,1.0,0.0,1.0,4.1101389445488685,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:54:21,99,29,0,0.0,0.0,1.0,0.0,1.0,4.161899031232476,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:54:48,99,28,0,0.0,0.0,1.0,0.0,1.0,4.187355076816472,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:55:01,99,30,0,0.0,0.0,1.0,0.0,1.0,4.1973166778502335,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:55:31,99,29,0,0.0,0.0,1.0,0.0,1.0,4.2712293875782565,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:56:29,99,30,0,0.0,0.0,1.0,0.0,1.0,4.270484997322511,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:56:31,99,28,0,0.0,0.0,1.0,0.0,1.0,4.2709679638736615,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:57:08,99,28,0,0.0,0.0,1.0,0.0,1.0,4.370686796665837,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:57:31,99,30,0,0.0,0.0,1.0,0.0,1.0,4.427068236744208,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:58:25,99,29,0,0.0,0.0,1.0,0.0,1.0,4.566843250749161,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:58:50,99,29,0,0.0,0.0,1.0,0.0,1.0,4.67476903099497,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:59:21,99,29,0,0.0,0.0,1.0,0.0,1.0,4.7350332052623205,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:59:49,99,29,0,0.0,0.0,1.0,0.0,1.0,4.733098806524545,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 08:00:07,99,29,0,0.0,0.0,1.0,0.0,1.0,4.740876743372625,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:00:40,99,29,0,0.0,0.0,1.0,0.0,1.0,4.851415235351067,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:01:16,99,28,0,0.0,0.0,1.0,0.0,1.0,4.8514553654924635,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:01:56,99,29,0,0.0,0.0,1.0,0.0,1.0,4.7995859603341975,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:02:05,99,28,0,0.0,0.0,1.0,0.0,1.0,4.7972063677801575,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:02:37,99,29,0,0.0,0.0,1.0,0.0,1.0,4.796345888139005,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:03:28,99,28,0,0.0,0.0,1.0,0.0,1.0,4.830049250657852,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:03:57,99,29,0,0.0,0.0,1.0,0.0,1.0,4.866633929426178,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:04:10,99,27,0,0.0,0.0,1.0,0.0,1.0,4.836197764161843,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:04:47,99,28,0,0.0,0.0,1.0,0.0,1.0,4.784223219337505,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:05:17,99,29,0,0.0,0.0,1.0,0.0,1.0,4.7847773595762035,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:05:31,99,28,0,0.0,0.0,1.0,0.0,1.0,4.777002655497525,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:06:19,99,29,0,0.0,0.0,1.0,0.0,1.0,4.8434761805361335,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:06:40,99,28,0,0.0,0.0,1.0,0.0,1.0,4.897553307207759,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:07:06,99,29,0,0.0,0.0,1.0,0.0,1.0,4.980341053153018,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:07:57,99,28,0,0.0,0.0,1.0,0.0,1.0,5.1219506743768335,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:08:29,99,29,0,0.0,0.0,1.0,0.0,1.0,5.161427309271179,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:08:46,99,29,0,0.0,0.0,1.0,0.0,1.0,5.163058011418861,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:09:22,99,28,0,0.0,0.0,1.0,0.0,1.0,5.1956143113674536,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:09:57,99,28,0,0.0,0.0,1.0,0.0,1.0,5.21042560546436,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:10:23,99,28,0,0.0,0.0,1.0,0.0,1.0,5.115935345994402,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:10:49,99,29,0,0.0,0.0,1.0,0.0,1.0,5.0113781837255935,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:11:28,99,27,0,0.0,0.0,1.0,0.0,1.0,4.845778041473698,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:11:40,99,28,0,0.0,0.0,1.0,0.0,1.0,4.786766301271693,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:12:29,99,29,0,0.0,0.0,1.0,0.0,1.0,4.586767662731198,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:12:31,99,29,0,0.0,0.0,1.0,0.0,1.0,4.578918636200741,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:13:11,99,28,0,0.0,0.0,1.0,0.0,1.0,4.434776953391876,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:13:52,99,29,0,0.0,0.0,1.0,0.0,1.0,4.380397885789924,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:14:06,99,29,0,0.0,0.0,1.0,0.0,1.0,4.377899555868722,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:14:34,99,28,0,0.0,0.0,1.0,0.0,1.0,4.358928714489188,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:15:26,99,28,0,0.0,0.0,1.0,0.0,1.0,4.223480440156446,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:15:43,99,29,0,0.0,0.0,1.0,0.0,1.0,4.1544208187645175,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:16:13,96,30,0,0.0,0.0,1.0,0.0,1.0,4.065241097665772,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:16:40,99,29,0,0.0,0.0,1.0,0.0,1.0,3.9873527054077114,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:17:28,99,28,0,0.0,0.0,1.0,0.0,1.0,3.847030653774656,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:17:56,99,29,0,0.0,0.0,1.0,0.0,1.0,3.75424821188178,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:18:03,99,29,0,0.0,0.0,1.0,0.0,1.0,3.730423663204712,27.77777777777778,21.11111111111111,66,10,29.91
2020-03-06 08:18:38,99,30,0,0.0,0.0,1.0,0.0,1.0,3.633014193725256,27.77777777777778,21.11111111111111,66,10,29.91
