hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
58,37,0,1.0,0.0,0.0,1.0,0.0,2.884592579274566,33.888888888888886,17.77777777777778,38,8,29.79
59,36,0,1.0,0.0,0.0,1.0,0.0,4.586482559665504,32.77777777777778,17.77777777777778,41,8,29.82
94,31,0,0.0,0.0,1.0,0.0,1.0,2.5581952948983555,27.22222222222222,20.0,65,6,29.82
95,31,0,0.0,1.0,0.0,0.0,1.0,3.921725104171277,31.11111111111111,20.0,52,10,29.76
81,34,0,0.0,1.0,0.0,0.0,1.0,2.388848045809905,32.22222222222222,20.0,49,9,29.7
33,42,1,1.0,0.0,0.0,1.0,0.0,2.784837056630203,32.77777777777778,17.77777777777778,41,8,29.82
59,35,0,1.0,0.0,0.0,1.0,0.0,3.0900945955338592,32.22222222222222,17.22222222222222,40,3,29.82
99,31,0,0.0,0.0,1.0,0.0,1.0,4.217345359676183,27.77777777777778,21.11111111111111,66,12,29.85
72,32,0,0.0,1.0,0.0,0.0,1.0,2.283550234981145,30.0,17.77777777777778,48,10,29.79
76,37,0,1.0,0.0,0.0,1.0,0.0,4.559702157913956,32.77777777777778,18.88888888888889,43,3,29.82
44,32,0,0.0,1.0,0.0,0.0,1.0,2.5367010071715947,31.11111111111111,17.22222222222222,43,13,29.73
71,31,0,0.0,1.0,0.0,0.0,1.0,5.032228824856301,31.11111111111111,21.11111111111111,55,9,29.73
82,33,0,0.0,0.0,1.0,0.0,1.0,3.5250289016342022,28.88888888888889,20.0,58,2,29.88
92,31,0,0.0,1.0,0.0,0.0,1.0,3.4139334468178806,31.11111111111111,20.0,52,9,29.73
98,30,0,0.0,0.0,1.0,0.0,1.0,2.391799249254144,27.77777777777778,21.11111111111111,66,12,29.85
89,31,0,0.0,1.0,0.0,0.0,1.0,3.604837920339815,31.11111111111111,20.0,52,10,29.76
74,31,0,0.0,1.0,0.0,0.0,1.0,2.5277621855233847,30.0,17.77777777777778,48,10,29.79
48,31,0,0.0,1.0,0.0,0.0,1.0,4.548814629356957,30.0,17.22222222222222,45,10,29.73
71,30,0,0.0,1.0,0.0,0.0,1.0,2.9149847732574594,30.0,17.77777777777778,48,10,29.79
71,31,0,0.0,1.0,0.0,0.0,1.0,4.267912364442991,31.11111111111111,20.0,52,12,29.73
65,31,0,0.0,0.0,1.0,0.0,1.0,2.553483471797603,27.22222222222222,20.0,65,6,29.82
83,34,0,0.0,0.0,1.0,1.0,0.0,2.7335692022417937,30.0,20.0,55,3,29.88
84,32,0,0.0,0.0,1.0,0.0,1.0,2.5552392066380567,26.11111111111111,21.11111111111111,74,5,29.82
91,31,0,0.0,1.0,0.0,0.0,1.0,2.5493951299685293,31.11111111111111,20.0,52,13,29.73
96,29,0,0.0,0.0,1.0,0.0,1.0,2.6437709436614947,27.77777777777778,21.11111111111111,66,8,29.82
99,29,0,0.0,0.0,1.0,0.0,1.0,4.411198360367487,27.77777777777778,21.11111111111111,66,8,29.85
99,29,0,0.0,0.0,1.0,0.0,1.0,3.9873527054077114,27.77777777777778,21.11111111111111,66,10,29.91
48,31,0,0.0,1.0,0.0,0.0,1.0,5.0371849972397635,31.11111111111111,17.22222222222222,43,13,29.73
63,39,1,1.0,0.0,0.0,1.0,0.0,2.1991993637192873,32.77777777777778,17.77777777777778,41,5,29.76
62,32,0,0.0,1.0,0.0,0.0,1.0,2.7377763197530784,31.11111111111111,17.77777777777778,46,8,29.79
66,32,0,0.0,1.0,0.0,0.0,1.0,2.3874243745569608,32.22222222222222,17.77777777777778,43,9,29.79
57,37,0,1.0,0.0,0.0,1.0,0.0,2.9892484741681735,33.888888888888886,17.77777777777778,38,8,29.79
71,31,0,0.0,1.0,0.0,0.0,1.0,4.031602377314962,30.0,17.77777777777778,48,10,29.79
79,31,0,0.0,0.0,1.0,0.0,1.0,2.476635075465706,27.22222222222222,17.77777777777778,58,3,29.85
84,32,0,0.0,1.0,0.0,0.0,1.0,4.8416758116936895,32.22222222222222,20.0,49,9,29.7
76,31,0,0.0,1.0,0.0,0.0,1.0,2.225210770961518,31.11111111111111,20.0,52,12,29.73
66,36,0,1.0,0.0,0.0,1.0,0.0,5.160767791378205,32.22222222222222,15.0,36,3,29.79
85,33,0,0.0,1.0,0.0,0.0,1.0,4.442981257500196,32.22222222222222,20.0,49,9,29.7
57,42,1,1.0,0.0,0.0,1.0,0.0,4.387215296178118,32.77777777777778,17.22222222222222,38,6,29.79
79,31,0,0.0,0.0,1.0,0.0,1.0,2.2577466105287574,27.77777777777778,21.11111111111111,66,3,29.85
68,32,0,0.0,1.0,0.0,0.0,1.0,2.8289630258325573,32.22222222222222,21.11111111111111,52,12,29.73
85,32,0,0.0,1.0,0.0,0.0,1.0,2.2989805767657234,31.11111111111111,20.0,52,9,29.73
48,31,0,0.0,1.0,0.0,0.0,1.0,4.799462426372144,31.11111111111111,17.22222222222222,43,13,29.73
91,32,0,0.0,1.0,0.0,0.0,1.0,4.2695231290007785,31.11111111111111,20.0,52,10,29.76
33,40,1,0.0,0.0,1.0,1.0,0.0,2.1927667289685058,32.77777777777778,17.77777777777778,41,8,29.85
78,30,0,0.0,0.0,1.0,0.0,1.0,4.775004671931664,26.11111111111111,17.77777777777778,61,6,29.85
53,31,0,0.0,1.0,0.0,0.0,1.0,2.6812521771911966,30.0,17.22222222222222,45,10,29.73
51,42,1,1.0,0.0,0.0,1.0,0.0,3.7020350191968574,32.77777777777778,17.77777777777778,41,8,29.82
76,39,0,1.0,0.0,0.0,1.0,0.0,5.220077524747795,33.888888888888886,17.77777777777778,38,7,29.88
78,32,0,0.0,1.0,0.0,0.0,1.0,2.682861992292904,31.11111111111111,21.11111111111111,55,14,29.73
77,31,0,0.0,1.0,0.0,0.0,1.0,5.229235374559827,31.11111111111111,21.11111111111111,55,9,29.73
