hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
97,30,0,0.0,0.0,1.0,0.0,1.0,4.803061319712986
71,34,0,0.0,0.0,1.0,1.0,0.0,3.0970564676735197
70,30,0,0.0,1.0,0.0,0.0,1.0,4.790386644581365
80,36,0,1.0,0.0,0.0,1.0,0.0,4.790943748465597
92,31,0,0.0,1.0,0.0,0.0,1.0,4.048658178873006
83,27,0,0.0,0.0,1.0,0.0,1.0,3.2463821350897217
85,29,0,0.0,0.0,1.0,0.0,1.0,2.363525844954841
81,29,0,0.0,0.0,1.0,0.0,1.0,4.54765008245087
99,28,0,0.0,0.0,1.0,0.0,1.0,4.358928714489188
75,30,0,0.0,0.0,1.0,0.0,1.0,4.7537254602809655
98,29,0,0.0,0.0,1.0,0.0,1.0,4.365575950672926
66,38,1,0.0,0.0,1.0,1.0,0.0,2.484959895037161
49,31,0,0.0,1.0,0.0,0.0,1.0,3.6239409756121432
78,31,0,0.0,1.0,0.0,0.0,1.0,3.699991059137005
64,31,0,0.0,0.0,1.0,0.0,1.0,2.554888259229191
58,37,0,1.0,0.0,0.0,1.0,0.0,3.3415975669213367
95,32,0,0.0,1.0,0.0,0.0,1.0,2.3978992179661027
99,30,0,0.0,0.0,1.0,0.0,1.0,4.379785241046772
90,31,0,0.0,1.0,0.0,0.0,1.0,2.246446034224025
99,29,0,0.0,0.0,1.0,0.0,1.0,2.2601289990460334
82,28,0,0.0,0.0,1.0,0.0,1.0,2.8847896315397823
78,30,0,0.0,0.0,1.0,0.0,1.0,5.181586363784354
86,30,0,0.0,0.0,1.0,0.0,1.0,4.862895258021722
72,33,0,0.0,0.0,1.0,1.0,0.0,3.381444579360318
63,33,0,0.0,1.0,0.0,0.0,1.0,2.255157760559539
72,34,0,1.0,0.0,0.0,1.0,0.0,2.181133793171155
68,34,0,0.0,0.0,1.0,0.0,1.0,2.5563144285227533
95,32,0,0.0,1.0,0.0,0.0,1.0,5.099326047638738
70,31,0,0.0,0.0,1.0,0.0,1.0,4.157906500349357
64,41,0,1.0,0.0,0.0,1.0,0.0,4.443933826041893
77,39,1,1.0,0.0,0.0,1.0,0.0,2.2506657994433703
80,29,0,0.0,0.0,1.0,0.0,1.0,3.444798428386919
77,38,0,1.0,0.0,0.0,1.0,0.0,4.649992694528068
69,40,1,1.0,0.0,0.0,1.0,0.0,4.258393961043104
54,39,1,1.0,0.0,0.0,1.0,0.0,2.697024753313844
64,37,0,1.0,0.0,0.0,1.0,0.0,4.8311698136524335
96,32,0,0.0,0.0,1.0,0.0,1.0,2.3359266615920378
95,31,0,0.0,1.0,0.0,0.0,1.0,3.2604854803599053
71,31,0,0.0,1.0,0.0,0.0,1.0,5.178053753071662
77,32,0,0.0,1.0,0.0,0.0,1.0,5.172863953926903
65,32,0,0.0,0.0,1.0,0.0,1.0,2.552372435930641
47,31,0,0.0,1.0,0.0,0.0,1.0,5.030876465684655
95,30,0,0.0,0.0,1.0,0.0,1.0,4.7020138749196025
70,30,0,0.0,1.0,0.0,0.0,1.0,4.8237492371813415
63,35,0,1.0,0.0,0.0,1.0,0.0,4.784331931747041
92,30,0,0.0,0.0,1.0,0.0,1.0,5.199616756565786
60,33,0,0.0,1.0,0.0,0.0,1.0,2.683886668224337
87,32,0,0.0,0.0,1.0,0.0,1.0,4.2969684791696965
87,30,0,0.0,0.0,1.0,0.0,1.0,4.8086520423264005
80,29,0,0.0,0.0,1.0,0.0,1.0,4.783366681418036
83,40,0,1.0,0.0,0.0,1.0,0.0,4.571342546819347
94,29,0,0.0,0.0,1.0,0.0,1.0,4.836175317536218
80,29,0,0.0,0.0,1.0,0.0,1.0,4.856503378892093
56,32,0,0.0,0.0,1.0,0.0,1.0,2.4200302538327736
72,36,0,1.0,0.0,0.0,1.0,0.0,2.401390589964428
69,35,0,1.0,0.0,0.0,1.0,0.0,4.802668812942387
77,32,0,0.0,1.0,0.0,0.0,1.0,3.2072248422921783
62,36,0,1.0,0.0,0.0,1.0,0.0,4.81100086572334
90,29,0,0.0,0.0,1.0,0.0,1.0,5.13926290763749
73,34,0,0.0,1.0,0.0,0.0,1.0,2.7490810266855044
83,31,0,0.0,0.0,1.0,0.0,1.0,2.556217845093661
83,32,0,0.0,1.0,0.0,0.0,1.0,4.156657381353663
62,32,0,0.0,1.0,0.0,0.0,1.0,2.2639689137211336
89,32,0,0.0,0.0,1.0,0.0,1.0,3.4133500613344028
80,30,0,0.0,0.0,1.0,0.0,1.0,4.7910038980017475
87,30,0,0.0,1.0,0.0,0.0,1.0,4.738724803445014
93,32,0,0.0,1.0,0.0,0.0,1.0,5.179465485381104
77,40,0,1.0,0.0,0.0,1.0,0.0,4.3148257766228335
96,31,0,0.0,1.0,0.0,0.0,1.0,2.8237357945384516
56,39,0,1.0,0.0,0.0,1.0,0.0,2.7576104724832664
99,29,0,0.0,0.0,1.0,0.0,1.0,3.730423663204712
55,42,1,1.0,0.0,0.0,1.0,0.0,2.7876845258435137
76,30,0,0.0,0.0,1.0,0.0,1.0,5.158887774475404
75,30,0,0.0,0.0,1.0,0.0,1.0,4.53024171762697
90,35,0,1.0,0.0,0.0,1.0,0.0,4.3913455362428975
90,31,0,0.0,0.0,1.0,0.0,1.0,3.7343576590835066
76,33,0,0.0,0.0,1.0,0.0,1.0,3.214397693257708
71,32,0,0.0,1.0,0.0,0.0,1.0,5.156526376489767
94,29,0,0.0,1.0,0.0,0.0,1.0,3.445014245034133
72,31,0,0.0,1.0,0.0,0.0,1.0,3.8619194323053194
74,39,1,1.0,0.0,0.0,1.0,0.0,4.783286239745884
72,32,0,0.0,0.0,1.0,0.0,1.0,2.2849915819527493
74,31,0,0.0,0.0,1.0,0.0,1.0,3.0310997470387684
72,32,0,0.0,0.0,1.0,0.0,1.0,4.803080422935994
58,37,1,1.0,0.0,0.0,1.0,0.0,2.8287335619147003
57,38,0,1.0,0.0,0.0,1.0,0.0,3.1465892510162505
84,33,0,1.0,0.0,0.0,1.0,0.0,4.652813992358466
99,30,0,0.0,0.0,1.0,0.0,1.0,2.3550776267351425
78,32,0,0.0,1.0,0.0,0.0,1.0,2.592087966335152
99,29,0,0.0,0.0,1.0,0.0,1.0,2.6543782959639146
96,28,0,0.0,0.0,1.0,0.0,1.0,2.387334653399962
91,33,0,0.0,1.0,0.0,0.0,1.0,4.7785879492024685
71,33,0,0.0,1.0,0.0,0.0,1.0,4.815101511872381
75,30,0,0.0,0.0,1.0,0.0,1.0,4.846223413621232
99,29,0,0.0,0.0,1.0,0.0,1.0,5.222837677945875
96,32,0,0.0,0.0,1.0,0.0,1.0,2.3659783936864733
64,35,0,1.0,0.0,0.0,1.0,0.0,4.798420784145232
85,29,0,0.0,0.0,1.0,0.0,1.0,4.182912100732737
72,32,0,0.0,1.0,0.0,0.0,1.0,4.596852173714999
73,30,0,0.0,0.0,1.0,0.0,1.0,3.1575311882312684
88,31,0,0.0,0.0,1.0,0.0,1.0,4.378061766741169
72,31,0,0.0,1.0,0.0,0.0,1.0,2.584741028970881
82,28,0,0.0,0.0,1.0,0.0,1.0,4.181529100546828
91,32,0,0.0,1.0,0.0,0.0,1.0,2.3419649928014694
99,29,0,0.0,0.0,1.0,0.0,1.0,4.074591228752123
96,30,0,0.0,0.0,1.0,0.0,1.0,2.580437836596872
60,43,0,1.0,0.0,0.0,1.0,0.0,2.3975785843695183
71,31,0,0.0,0.0,1.0,0.0,1.0,2.3802510380024966
