greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,uv,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
2,2,5,4,2,2,3,2,49.0,37,68.0,0.0,0.0,1.0,0.0,0.0,1.0,5.694328120729331,27.77777777777778,23.88888888888889,79,1,29.7
3,3,1,1,5,4,1,5,75.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.500711276745419,30.0,26.11111111111111,79,5,29.76
4,3,5,4,3,2,2,2,87.0,28,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.069051497141363,28.88888888888889,26.11111111111111,84,0,29.73
2,3,3,3,4,4,3,3,51.0,36,75.0,0.0,0.0,0.0,1.0,1.0,0.0,7.377849421660378,32.22222222222222,23.88888888888889,62,5,29.73
1,1,3,3,2,2,2,2,53.0,36,50.0,1.0,0.0,0.0,0.0,1.0,0.0,5.5698732630988665,32.77777777777778,23.88888888888889,59,2,29.67
1,2,3,4,2,2,2,3,59.0,35,52.0,1.0,0.0,0.0,0.0,1.0,0.0,7.1531567968860434,32.22222222222222,25.0,66,7,29.67
3,5,4,3,3,3,3,3,63.0,32,92.0,0.0,0.0,0.0,1.0,0.0,1.0,6.425168347213409,28.88888888888889,25.0,79,2,29.7
2,2,4,3,1,1,4,1,68.0,33,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.410632053795693,32.22222222222222,25.0,66,7,29.67
2,2,2,2,3,3,3,2,59.0,35,52.0,1.0,0.0,0.0,0.0,1.0,0.0,7.1531567968860434,32.22222222222222,25.0,66,7,29.67
4,4,3,3,4,4,2,4,74.0,31,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.432676848378437,32.22222222222222,25.0,66,14,29.55
2,2,3,3,3,2,2,3,56.0,35,601.0,1.0,0.0,0.0,0.0,1.0,0.0,6.421921126183198,32.22222222222222,23.88888888888889,62,6,29.67
