timestamp,hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
2020-02-28 12:41:31,74,35,0,1.0,0.0,0.0,1.0,0.0,4.847511499312499
2020-02-28 12:42:15,66,36,0,1.0,0.0,0.0,1.0,0.0,4.825682946857952
2020-02-28 12:42:43,60,35,0,1.0,0.0,0.0,1.0,0.0,4.782260880387923
2020-02-28 12:43:14,60,36,0,1.0,0.0,0.0,1.0,0.0,4.7783346448734045
2020-02-28 12:43:48,60,36,0,1.0,0.0,0.0,1.0,0.0,4.777459917075235
2020-02-28 12:44:11,60,36,0,1.0,0.0,0.0,1.0,0.0,4.77087958038229
2020-02-28 12:44:50,62,36,0,1.0,0.0,0.0,1.0,0.0,4.81100086572334
2020-02-28 12:45:11,70,36,0,1.0,0.0,0.0,1.0,0.0,4.866322900317649
2020-02-28 12:45:39,59,36,0,1.0,0.0,0.0,1.0,0.0,4.907377530292583
2020-02-28 12:46:12,58,37,0,1.0,0.0,0.0,1.0,0.0,5.000307786025591
2020-02-28 12:46:37,58,37,0,1.0,0.0,0.0,1.0,0.0,5.0328728742981665
2020-02-28 12:47:14,61,37,0,1.0,0.0,0.0,1.0,0.0,5.019394326141646
2020-02-28 12:47:42,68,36,0,1.0,0.0,0.0,1.0,0.0,5.047341062926884
2020-02-28 12:48:17,66,37,0,1.0,0.0,0.0,1.0,0.0,5.04950090117264
2020-02-28 12:48:33,66,36,0,1.0,0.0,0.0,1.0,0.0,5.0496540030088735
2020-02-28 12:49:19,65,37,0,1.0,0.0,0.0,1.0,0.0,5.13520468871885
2020-02-28 12:49:47,66,36,0,1.0,0.0,0.0,1.0,0.0,5.160767791378204
2020-02-28 12:50:03,66,37,0,1.0,0.0,0.0,1.0,0.0,5.146182268298016
2020-02-28 12:50:56,69,38,0,1.0,0.0,0.0,1.0,0.0,4.994391253722189
2020-02-28 12:51:15,64,39,0,1.0,0.0,0.0,1.0,0.0,4.938957745359486
2020-02-28 12:51:58,57,40,0,1.0,0.0,0.0,1.0,0.0,4.804524033942055
2020-02-28 12:52:05,56,39,0,1.0,0.0,0.0,1.0,0.0,4.783964892625185
2020-02-28 12:52:33,58,41,0,1.0,0.0,0.0,1.0,0.0,4.7132300746198075
2020-02-28 12:53:04,59,41,0,1.0,0.0,0.0,1.0,0.0,4.714379587734518
2020-02-28 12:53:36,61,42,0,1.0,0.0,0.0,1.0,0.0,4.71451513066701
2020-02-28 12:54:20,61,42,0,1.0,0.0,0.0,1.0,0.0,4.577318818519047
2020-02-28 12:54:58,64,41,0,1.0,0.0,0.0,1.0,0.0,4.443933826041894
2020-02-28 12:55:05,66,42,0,1.0,0.0,0.0,1.0,0.0,4.4186441754251895
2020-02-28 12:55:47,68,41,0,1.0,0.0,0.0,1.0,0.0,4.3049528906727845
2020-02-28 12:56:02,68,41,0,1.0,0.0,0.0,1.0,0.0,4.2574605647425425
2020-02-28 12:56:37,64,40,0,1.0,0.0,0.0,1.0,0.0,4.152941643072704
2020-02-28 12:57:24,68,42,0,1.0,0.0,0.0,1.0,0.0,4.012415501472974
2020-02-28 12:57:35,69,40,0,1.0,0.0,0.0,1.0,0.0,3.9828056382992867
2020-02-28 12:58:05,72,41,0,1.0,0.0,0.0,1.0,0.0,3.9652140727981444
2020-02-28 12:58:38,74,40,0,1.0,0.0,0.0,1.0,0.0,3.9626424177469652
2020-02-28 12:59:21,73,40,0,1.0,0.0,0.0,1.0,0.0,3.8671589992472932
2020-02-28 12:59:51,72,41,0,1.0,0.0,0.0,1.0,0.0,3.7697185236408473
2020-02-28 13:00:00,71,41,0,1.0,0.0,0.0,1.0,0.0,3.7442543243092485
2020-02-28 13:00:55,70,40,0,1.0,0.0,0.0,1.0,0.0,3.583852065287958
2020-02-28 13:01:13,66,41,0,1.0,0.0,0.0,1.0,0.0,3.5434020505477024
2020-02-28 13:01:34,63,41,0,1.0,0.0,0.0,1.0,0.0,3.489932968818094
2020-02-28 13:02:04,62,40,0,1.0,0.0,0.0,1.0,0.0,3.4226861088244505
2020-02-28 13:02:31,62,40,0,1.0,0.0,0.0,1.0,0.0,3.4169922564376387
2020-02-28 13:03:18,63,39,0,1.0,0.0,0.0,1.0,0.0,3.397876256211667
2020-02-28 13:03:39,62,39,0,1.0,0.0,0.0,1.0,0.0,3.3680343922138127
2020-02-28 13:04:16,64,39,0,1.0,0.0,0.0,1.0,0.0,3.286776178453618
2020-02-28 13:04:30,64,40,0,1.0,0.0,0.0,1.0,0.0,3.2547714629594413
2020-02-28 13:05:04,64,40,0,1.0,0.0,0.0,1.0,0.0,3.1652154443048968
2020-02-28 13:05:55,61,39,0,1.0,0.0,0.0,1.0,0.0,3.109822635587639
2020-02-28 13:06:16,60,39,0,1.0,0.0,0.0,1.0,0.0,3.1102886402418184
2020-02-28 13:06:41,59,40,0,1.0,0.0,0.0,1.0,0.0,3.0897244763859155
2020-02-28 13:07:10,55,40,0,1.0,0.0,0.0,1.0,0.0,3.028937649874847
2020-02-28 13:07:31,57,40,0,1.0,0.0,0.0,1.0,0.0,2.9771209721857756
2020-02-28 13:08:12,59,41,0,1.0,0.0,0.0,1.0,0.0,2.9241755030690784
2020-02-28 13:08:54,58,40,0,1.0,0.0,0.0,1.0,0.0,2.8407210461341914
2020-02-28 13:09:05,59,41,0,1.0,0.0,0.0,1.0,0.0,2.8374500018037354
2020-02-28 13:09:31,60,41,0,1.0,0.0,0.0,1.0,0.0,2.836202045799176
2020-02-28 13:10:03,61,40,0,1.0,0.0,0.0,1.0,0.0,2.8360085776555444
2020-02-28 13:10:50,62,40,0,1.0,0.0,0.0,1.0,0.0,2.718943793200825
2020-02-28 13:11:08,62,39,0,1.0,0.0,0.0,1.0,0.0,2.6746292808369647
2020-02-28 13:11:57,61,41,0,1.0,0.0,0.0,1.0,0.0,2.652225123565072
2020-02-28 13:12:02,61,40,0,1.0,0.0,0.0,1.0,0.0,2.652225123565072
2020-02-28 13:12:34,65,41,0,1.0,0.0,0.0,1.0,0.0,2.6168522458819004
2020-02-28 13:13:13,61,42,0,1.0,0.0,0.0,1.0,0.0,2.5496459816357033
2020-02-28 13:13:39,59,41,0,1.0,0.0,0.0,1.0,0.0,2.499984940537283
2020-02-28 13:14:17,61,41,0,1.0,0.0,0.0,1.0,0.0,2.4315325530293586
2020-02-28 13:14:35,64,42,0,1.0,0.0,0.0,1.0,0.0,2.4043384859574557
2020-02-28 13:15:09,60,43,0,1.0,0.0,0.0,1.0,0.0,2.397578584369518
2020-02-28 13:15:33,61,42,0,1.0,0.0,0.0,1.0,0.0,2.39728103612424
2020-02-28 13:16:16,57,42,0,1.0,0.0,0.0,1.0,0.0,2.329663817971918
2020-02-28 13:16:56,54,42,0,1.0,0.0,0.0,1.0,0.0,2.2882882167228114
2020-02-28 13:17:04,54,41,0,1.0,0.0,0.0,1.0,0.0,2.2811925459516
