hum,tem,uv,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Late Night,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
63.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.351791969169206,31.11111111111111,22.77777777777778,62,6,29.67
64.0,33,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.372427950693744,32.22222222222222,26.11111111111111,70,2,29.76
70.0,32,50,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.2420212158589905,28.88888888888889,25.0,79,10,29.7
67.0,32,54,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.582166936291647,30.0,25.0,74,0,29.73
65.0,33,39,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.413921519802504,30.0,25.0,74,1,29.76
73.0,32,24,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.4943295998113735,30.0,26.11111111111111,79,5,29.76
72.0,32,26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.4859238247361235,30.0,26.11111111111111,79,5,29.76
54.0,36,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.374945436467629,32.22222222222222,25.0,66,7,29.73
50.0,36,18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.33241912948178,27.77777777777778,26.11111111111111,89,8,29.73
65.0,32,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.269481821846787,31.11111111111111,26.11111111111111,75,2,29.73
61.0,34,637,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.32086287286538,30.0,25.0,74,3,29.64
58.0,34,499,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.7029150102341895,31.11111111111111,25.0,70,2,29.61
63.0,34,13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.656219024225425,28.88888888888889,23.88888888888889,74,8,29.73
61.0,31,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.467601880203071,27.77777777777778,22.77777777777778,74,12,29.7
64.0,34,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.4360856739082335,32.22222222222222,23.88888888888889,62,6,29.64
61.0,34,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.4734262431983,31.11111111111111,25.0,70,8,29.67
55.0,35,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.294315042321449,32.77777777777778,22.77777777777778,55,6,29.64
54.0,36,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.4327485679437,32.22222222222222,23.88888888888889,62,6,29.64
73.0,31,16,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.232792439733721,26.11111111111111,26.11111111111111,100,1,29.7
61.0,34,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.8326344560997105,31.11111111111111,23.88888888888889,66,7,29.61
