greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,num_people,num_motorcycles,num_cars,rms_contrast
1,3,3,4,3,3,4,2,77.0,30,0.0,0.0,0.0,1.0,0.0,1.0,6.618066750677892,0,0,0,79.29227796725846
3,4,2,1,2,2,3,3,70.0,33,0.0,0.0,0.0,1.0,0.0,1.0,5.57215214590661,0,0,0,69.02927787011164
3,3,1,1,4,4,1,5,64.0,34,0.0,0.0,0.0,1.0,0.0,1.0,6.456066599913491,3,0,4,62.19884200513264
5,5,2,1,5,5,1,5,60.0,34,0.0,0.0,0.0,1.0,0.0,1.0,7.254840915406108,2,3,0,67.59114378912017
4,3,2,2,4,4,2,4,73.0,32,0.0,0.0,0.0,1.0,0.0,1.0,3.354464839440819,3,0,0,70.69775807875445
3,3,2,2,3,3,2,4,73.0,32,1.0,0.0,0.0,0.0,1.0,0.0,8.035452036832472,1,3,3,51.83538898022231
2,2,1,1,5,5,1,5,75.0,31,0.0,0.0,0.0,1.0,0.0,1.0,5.565917207288112,2,1,3,55.01144334681879
3,3,3,3,3,3,3,3,89.0,28,0.0,0.0,0.0,1.0,0.0,1.0,8.290502987116332,12,6,0,51.914129487183885
2,2,4,4,2,2,3,3,78.0,31,0.0,0.0,0.0,1.0,0.0,1.0,6.23432907639552,7,6,0,72.61220843356159
4,4,3,3,2,3,3,3,81.0,31,0.0,0.0,0.0,1.0,1.0,0.0,6.753923299705072,2,3,1,63.10198209638028
3,2,3,4,3,2,2,3,56.0,33,1.0,0.0,0.0,0.0,1.0,0.0,8.3562085104834,0,0,0,70.29430297729381
4,2,5,5,2,1,4,1,58.0,35,0.0,0.0,1.0,0.0,0.0,1.0,6.423254363603824,0,0,0,83.07382385246571
2,5,2,3,4,4,3,2,61.0,33,0.0,0.0,0.0,1.0,0.0,1.0,5.5697145867793845,2,1,0,70.08289584593103
3,3,2,2,4,3,1,3,51.0,37,1.0,0.0,0.0,0.0,1.0,0.0,6.426916396226491,4,2,4,61.28784706353932
2,3,3,3,1,2,4,1,63.0,34,0.0,0.0,0.0,1.0,0.0,1.0,7.195639229762362,0,0,0,60.169163835535095
3,3,4,4,2,3,2,3,89.0,28,0.0,0.0,0.0,1.0,0.0,1.0,7.061095896921059,13,5,1,56.40244019904149
1,1,3,3,3,3,3,3,75.0,31,0.0,0.0,0.0,1.0,0.0,1.0,6.500711276745419,2,1,3,65.80584191948073
1,4,4,4,1,1,4,1,58.0,34,0.0,0.0,1.0,0.0,0.0,1.0,5.5342563405919885,8,8,3,57.24712183127552
3,3,4,3,2,2,2,2,89.0,28,0.0,0.0,0.0,1.0,0.0,1.0,7.061095896921059,1,2,1,34.3284332013102
3,2,4,4,2,1,4,1,63.0,35,0.0,0.0,1.0,0.0,0.0,1.0,5.577046400539039,2,0,0,78.87905148719307
4,4,4,3,5,5,3,5,77.0,30,0.0,0.0,0.0,1.0,0.0,1.0,6.43014434324121,4,3,4,70.55673993950904
2,2,4,3,2,1,3,2,61.0,34,0.0,0.0,0.0,1.0,1.0,0.0,6.30072547608243,4,2,5,70.11508802585453
2,2,5,4,2,2,3,2,49.0,37,0.0,0.0,1.0,0.0,0.0,1.0,5.694328120729331,13,15,1,70.90651659155168
3,3,1,1,5,4,1,5,75.0,31,0.0,0.0,0.0,1.0,0.0,1.0,6.500711276745419,4,4,4,57.15813959640226
4,3,5,4,3,2,2,2,87.0,28,0.0,0.0,0.0,1.0,0.0,1.0,6.069051497141363,12,6,2,52.84019466248589
2,3,3,3,4,4,3,3,51.0,36,0.0,0.0,0.0,1.0,1.0,0.0,7.377849421660378,7,9,1,70.46585985376053
1,1,3,3,2,2,2,2,53.0,36,1.0,0.0,0.0,0.0,1.0,0.0,5.5698732630988665,7,10,1,53.390801992991065
1,2,3,4,2,2,2,3,59.0,35,1.0,0.0,0.0,0.0,1.0,0.0,7.1531567968860434,3,2,3,72.64879892541384
3,5,4,3,3,3,3,3,63.0,32,0.0,0.0,0.0,1.0,0.0,1.0,6.425168347213409,5,2,5,76.11711040512233
2,2,4,3,1,1,4,1,68.0,33,1.0,0.0,0.0,0.0,1.0,0.0,8.410632053795693,3,1,5,55.71843979442918
2,2,2,2,3,3,3,2,59.0,35,1.0,0.0,0.0,0.0,1.0,0.0,7.1531567968860434,3,3,3,75.95043454780523
